HOUSEID,PERSONID,TDTRPNUM,STRTTIME,ENDTIME,TRVLCMIN,TRPMILES,TRPTRANS,TRPACCMP,TRPHHACC,VEHID,TRWAITTM,NUMTRANS,TRACCTM,DROP_PRK,TREGRTM,WHODROVE,WHYFROM,LOOP_TRIP,TRPHHVEH,HHMEMDRV,HH_ONTD,NONHHCNT,NUMONTRP,PSGR_FLG,PUBTRANS,TRIPPURP,DWELTIME,TDWKND,VMT_MILE,DRVR_FLG,WHYTRP1S,ONTD_P1,ONTD_P2,ONTD_P3,ONTD_P4,ONTD_P5,ONTD_P6,ONTD_P7,ONTD_P8,ONTD_P9,ONTD_P10,ONTD_P11,ONTD_P12,ONTD_P13,TDCASEID,TRACC_WLK,TRACC_POV,TRACC_BUS,TRACC_CRL,TRACC_SUB,TRACC_OTH,TREGR_WLK,TREGR_POV,TREGR_BUS,TREGR_CRL,TREGR_SUB,TREGR_OTH,WHYTO,TRAVDAY,HOMEOWN,HHSIZE,HHVEHCNT,HHFAMINC,DRVRCNT,HHSTATE,HHSTFIPS,NUMADLT,WRKCOUNT,TDAYDATE,HHRESP,LIF_CYC,MSACAT,MSASIZE,RAIL,URBAN,URBANSIZE,URBRUR,GASPRICE,CENSUS_D,CENSUS_R,CDIVMSAR,HH_RACE,HH_HISP,HH_CBSA,SMPLSRCE,R_AGE,EDUC,R_SEX,PRMACT,PROXY,WORKER,DRIVER,WTTRDFIN,WHYTRP90,TRPMILAD,R_AGE_IMP,R_SEX_IMP,VEHTYPE,OBHUR,DBHUR,OTHTNRNT,OTPPOPDN,OTRESDN,OTEEMPDN,OBHTNRNT,OBPPOPDN,OBRESDN,DTHTNRNT,DTPPOPDN,DTRESDN,DTEEMPDN,DBHTNRNT,DBPPOPDN,DBRESDN
30000019,2,2,1700,1715,15,3.034,3,1,1,1,-1,-1,-1,-1,-1,2,97,2,1,1,2,0,2,2,2,HBO,-9,2,3.034,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300000190202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,1,2,2,3,2,MD,24,2,0,201605,1,2,3,2,2,1,1,1,240.8,5,3,53,1,2,XXXXX,2,66,2,2,4,2,2,1,90939.087398441,11,3.3832134,66,2,1,C,S,50,3000,1500,1500,50,3000,1500,40,300,300,150,50,750,300
30000029,1,1,830,845,15,8.371,4,1,1,1,-1,-1,-1,-1,-1,1,1,2,1,1,2,0,2,2,2,HBO,90,2,8.371,1,30,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300000290101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,3,1,2,2,5,2,WI,55,2,0,201610,1,10,3,3,2,1,2,1,224.7,3,2,33,1,2,XXXXX,2,72,3,1,6,1,2,1,33363.7898214297,6,9.3345021,72,1,3,S,S,40,1500,750,750,40,1500,750,20,1500,750,750,5,750,300
30000029,1,2,1015,1025,10,3.498,4,1,1,1,-1,-1,-1,-1,-1,1,18,2,1,1,2,0,2,2,2,NHB,25,2,3.498,1,40,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300000290102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,3,1,2,2,5,2,WI,55,2,0,201610,1,10,3,3,2,1,2,1,224.7,3,2,33,1,2,XXXXX,2,72,3,1,6,1,2,1,33363.7898214297,3,3.9006198,72,1,3,S,S,20,1500,750,750,5,750,300,50,3000,1500,1500,70,1500,750
30000029,1,3,1050,1105,15,6.715,4,1,1,1,-1,-1,-1,-1,-1,1,11,2,1,1,2,0,2,2,2,HBSHOP,-9,2,6.715,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300000290103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,1,2,2,5,2,WI,55,2,0,201610,1,10,3,3,2,1,2,1,224.7,3,2,33,1,2,XXXXX,2,72,3,1,6,1,2,1,33363.7898214297,6,7.4878965,72,1,3,S,S,50,3000,1500,1500,70,1500,750,40,1500,750,750,40,1500,750
30000029,2,1,800,845,45,8.371,4,1,1,1,-1,-1,-1,-1,-1,1,1,2,1,1,2,0,2,1,2,HBO,90,2,-1.0,2,30,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300000290201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,3,1,2,2,5,2,WI,55,2,0,201610,1,10,3,3,2,1,2,1,224.7,3,2,33,1,2,XXXXX,2,72,2,2,6,1,2,1,35130.9905104787,6,9.3345021,72,2,3,S,S,40,1500,750,750,40,1500,750,20,1500,750,750,5,750,300
30000029,2,2,1015,1025,10,3.498,4,1,1,1,-1,-1,-1,-1,-1,1,18,2,1,1,2,0,2,1,2,NHB,25,2,-1.0,2,40,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300000290202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,3,1,2,2,5,2,WI,55,2,0,201610,1,10,3,3,2,1,2,1,224.7,3,2,33,1,2,XXXXX,2,72,2,2,6,1,2,1,35130.9905104787,3,3.9006198,72,2,3,S,S,20,1500,750,750,5,750,300,50,3000,1500,1500,70,1500,750
30000029,2,3,1050,1105,15,6.715,4,1,1,1,-1,-1,-1,-1,-1,1,11,2,1,1,2,0,2,1,2,HBSHOP,20,2,-1.0,2,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300000290203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,1,2,2,5,2,WI,55,2,0,201610,1,10,3,3,2,1,2,1,224.7,3,2,33,1,2,XXXXX,2,72,2,2,6,1,2,1,35130.9905104787,6,7.4878965,72,2,3,S,S,50,3000,1500,1500,70,1500,750,40,1500,750,750,40,1500,750
30000029,2,4,1125,1130,5,1.814,4,0,0,1,-1,-1,-1,-1,-1,2,1,2,1,1,1,0,1,2,2,HBSHOP,60,2,1.814,1,80,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300000290204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,3,1,2,2,5,2,WI,55,2,0,201610,1,10,3,3,2,1,2,1,224.7,3,2,33,1,2,XXXXX,2,72,2,2,6,1,2,1,35130.9905104787,10,2.0227914,72,2,3,S,S,40,1500,750,750,40,1500,750,40,3000,1500,1500,60,7000,3000
30000029,2,5,1230,1235,5,1.915,4,0,0,1,-1,-1,-1,-1,-1,2,13,2,1,1,1,0,1,2,2,HBSHOP,325,2,1.915,1,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300000290205,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,1,2,2,5,2,WI,55,2,0,201610,1,10,3,3,2,1,2,1,224.7,3,2,33,1,2,XXXXX,2,72,2,2,6,1,2,1,35130.9905104787,10,2.1354165,72,2,3,S,S,40,3000,1500,1500,60,7000,3000,40,1500,750,750,40,1500,750
30000029,2,6,1800,1818,18,10.158,4,0,0,2,-1,-1,-1,-1,-1,2,1,2,1,1,1,0,1,2,2,HBSOCREC,197,2,10.158,1,50,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300000290206,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,3,1,2,2,5,2,WI,55,2,0,201610,1,10,3,3,2,1,2,1,224.7,3,2,33,1,2,XXXXX,2,72,2,2,6,1,2,1,35130.9905104787,10,11.3271858,72,2,3,S,C,40,1500,750,750,40,1500,750,40,7000,3000,3000,50,7000,3000
