HOUSEID,PERSONID,R_AGE,EDUC,R_HISP,R_RELAT,R_SEX,R_RACE,PRMACT,PAYPROF,GT1JBLWK,WRK_HOME,WKFTPT,WRKTRANS,LSTTRDAY17,OCCAT,SCHTYP,NWALKTRP,WALK4EX,NBIKETRP,BIKE4EX,BIKESHARE,PTUSED,MCUSED,CARSHARE,RIDESHARE,CARRODE,TIMETOWK,NOCONG,PUBTIME,WRKTIME,WKRMHM,FLEXTIME,WKFMHMXX,SCHTRN1,SCHTRN2,DELIVER,MEDCOND,MEDCOND6,HEALTH,PHYACT,VPACT,LPACT,BORNINUS,YRTOUS,YEARMILE,PROXY,WHOPROXY,USEPUBTR,SAMEPLC,W_NONE,W_CANE,W_WLKR,W_WHCANE,W_DOG,W_CRUTCH,W_SCOOTR,W_CHAIR,W_MTRCHR,WORKER,DIARY,OUTCNTRY,FRSTHM17,CNTTDTR,GCDWORK,WKSTFIPS,DRIVER,OUTOFTWN,DISTTOWK17,DISTTOSC17,R_AGE_IMP,R_SEX_IMP,ALT_16,ALT_23,ALT_45,WALK_DEF,WALK_GKQ,BIKE_DFR,BIKE_GKP,CONDTRAV,CONDRIDE,CONDNIGH,CONDRIVE,CONDPUB,CONDSPEC,CONDTAX,TRAVDAY,HOMEOWN,HHSIZE,HHVEHCNT,HHFAMINC,DRVRCNT,HHSTATE,HHSTFIPS,NUMADLT,WRKCOUNT,TDAYDATE,HHRESP,LIF_CYC,MSACAT,MSASIZE,RAIL,URBAN,URBANSIZE,URBRUR,CENSUS_D,CENSUS_R,CDIVMSAR,HH_RACE,HH_HISP,HH_CBSA,SMPLSRCE,WTPERFIN,HBHUR,HTHTNRNT,HTPPOPDN,HTRESDN,HTEEMPDN,HBHTNRNT,HBPPOPDN,HBRESDN
30000194,1,92,3,2,1,2,1,1,-1,2,1,2,-9,-1,1,-1,3,0,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,10:00 AM,-1,2,-1,-1,-1,1,2,-1,1,1,-1,-1,1,-1,-77,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,1,2,-9.0,-9,1,2,-9.0,-9.0,15,2,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,1,2,2,3,1,6,3,1,3,WA,53,3,2,201608,2,6,3,3,2,1,2,1,9,4,93,1,2,XXXXX,1,7215.16035531646,C,40,7000,3000,3000,20,7000,3000
30000194,2,42,3,2,4,2,1,4,2,-1,-1,-1,-1,-1,-1,-1,4,0,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,-1,1,2,-1,7,1,-1,-88,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,1,4,-9.0,-9,1,2,-9.0,-9.0,42,2,4,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,6,3,1,3,WA,53,3,2,201608,2,6,3,3,2,1,2,1,9,4,93,1,2,XXXXX,1,6282.84869030624,C,40,7000,3000,3000,20,7000,3000
30000194,3,40,3,2,4,1,1,1,-1,2,1,1,-9,-1,1,-1,7,0,3,0,0,0,-1,0,0,-1,-1,-1,-1,01:00 AM,-1,2,-1,-1,-1,3,2,-1,2,2,-1,3,1,-1,-77,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,2,2,-9.0,-9,1,2,-9.0,-9.0,40,1,-1,-1,-1,-1,-1,-9,-9,-1,-1,-1,-1,-1,-1,-1,3,1,6,3,1,3,WA,53,3,2,201608,2,6,3,3,2,1,2,1,9,4,93,1,2,XXXXX,1,6831.93098150052,C,40,7000,3000,3000,20,7000,3000
30000194,4,15,1,2,-9,2,1,-1,-1,-1,-1,-1,-1,-1,-1,2,7,5,3,0,15,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,3,2,-1,5,1,-1,-1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,3,-9.0,-9,2,2,-9.0,-9.0,92,2,-1,-1,-1,-1,-1,-9,-9,-1,-1,-1,-1,-1,-1,-1,3,1,6,3,1,3,WA,53,3,2,201608,2,6,3,3,2,1,2,1,9,4,93,1,2,XXXXX,1,6935.61869391092,C,40,7000,3000,3000,20,7000,3000
30000194,5,7,-1,2,5,1,1,-1,-1,-1,-1,-1,-1,2,-1,2,7,0,7,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,1,3,5,-1,1,-1,-1,2,2,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,0,-9.0,-9,-1,2,-9.0,-9.0,7,1,-1,-1,-1,-1,-1,-9,-9,-1,-1,-1,-1,-1,-1,-1,3,1,6,3,1,3,WA,53,3,2,201608,2,6,3,3,2,1,2,1,9,4,93,1,2,XXXXX,1,7622.0635742678,C,40,7000,3000,3000,20,7000,3000
30000194,6,17,1,2,5,2,1,4,2,-1,-1,-1,-1,-1,-1,2,7,0,3,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,-1,1,2,-1,2,1,-1,-1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,1,2,-9.0,-9,2,2,-9.0,-9.0,17,2,-1,-1,-1,-1,-1,-9,-9,-1,-1,-1,-1,-1,-1,-1,3,1,6,3,1,3,WA,53,3,2,201608,2,6,3,3,2,1,2,1,9,4,93,1,2,XXXXX,1,7215.16035531646,C,40,7000,3000,3000,20,7000,3000
30000227,1,69,4,2,1,2,1,6,2,-1,-1,-1,-1,-1,-1,-1,5,5,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,2,2,-1,5,1,-1,-88,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,1,2,-9.0,-9,1,2,-9.0,-9.0,69,2,4,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,6,1,CA,6,2,0,201607,1,10,2,4,2,1,4,1,9,4,92,1,2,40900,2,54.9086473323293,S,5,3000,750,1500,5,750,300
30000227,2,68,4,2,2,1,1,6,2,-1,-1,-1,-1,-1,-1,-1,4,4,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,2,-1,4,1,-1,-1,1,2,2,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,1,2,-9.0,-9,2,2,-9.0,-9.0,68,1,4,4,4,-1,-1,-1,-1,2,2,2,1,2,2,2,1,1,2,2,6,1,CA,6,2,0,201607,1,10,2,4,2,1,4,1,9,4,92,1,2,40900,2,51.3275064435831,S,5,3000,750,1500,5,750,300
30000230,1,50,3,2,1,2,1,1,-1,2,2,1,3,2,4,-1,72,0,0,-1,-1,0,-1,0,0,1,28,12,-1,-9,2,2,-1,-1,-1,7,1,3,5,1,-1,-1,1,-1,50000,1,1,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,0,6.77999999999997,47,1,2,10.1099999999997,-9.0,50,2,4,2,4,-1,-1,-1,-1,1,2,1,2,2,2,2,6,2,1,1,1,1,TN,47,1,1,201609,1,1,3,3,2,4,6,2,6,3,63,1,2,XXXXX,1,3946.73975928656,T,30,1500,750,350,20,750,300
30000242,1,87,1,2,1,2,1,6,2,-1,-1,-1,-1,-1,-1,-1,7,0,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,-1,1,2,-1,0,1,-1,-88,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,1,4,-9.0,-9,1,2,-9.0,-9.0,87,2,4,1,4,-1,-1,-1,-1,2,2,2,2,2,2,2,2,2,1,1,-7,1,AL,1,1,0,201608,1,9,4,6,2,4,6,2,6,3,64,1,2,XXXXX,1,6175.98473083029,R,30,50,50,25,40,50,50
